contract_id,effective_start_date,effective_end_date,version_id,contract_name,mg_beginning_balance,pp_beginning_balance,mg_original_paid,licensor_name,created_timestamp,created_by,updated_timestamp,updated_by
159,2025-04-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Trails through Daybreak 2,2000000,0,2000000,Nihon Falcom Corporation,2025-05-06T19:09:27.000Z,Izumi Ebitsuka,2025-05-06T19:10:00.000Z,Izumi Ebitsuka
74,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Tokyo Tattoo Girls,0,0,0,Nikkatsu Corporation,2023-03-17T18:27:42.000Z,Yosuke Akutsu,2023-03-20T20:38:12.000Z,Yosuke Akutsu
44,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Culdcept Revolt,0,0,0,"OMIYA SOFT, Ltd.",2023-03-17T18:27:42.000Z,Yosuke Akutsu,2023-03-20T20:37:54.000Z,Yosuke Akutsu
70,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Fairy Fencer F EU,0,0,84000,PREAPP CO LTD,2023-03-17T18:27:43.000Z,Yosuke Akutsu,2023-03-20T20:38:10.000Z,Yosuke Akutsu
71,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia 3 EU,0,0,0,PREAPP CO LTD,2023-03-17T18:27:44.000Z,Yosuke Akutsu,2023-03-20T20:38:10.000Z,Yosuke Akutsu
72,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Mugen Souls Z US,5774.15,0,207000,PREAPP CO LTD,2023-03-17T18:27:43.000Z,Yosuke Akutsu,2023-03-20T20:38:11.000Z,Yosuke Akutsu
73,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Black Rock Shooter-EU,0,0,0,PREAPP CO LTD,2023-03-17T18:27:43.000Z,Nisa Retool,2023-06-03T04:08:37.000Z,Nisa Retool
99,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia 3 US,0,0,0,PREAPP CO LTD,2023-03-30T22:06:10.000Z,Nisa Retool,2023-03-30T22:06:10.000Z,Nisa Retool
103,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia 4 EU,26586.5,0,80000,PREAPP CO LTD,2023-03-30T23:22:46.000Z,Nisa Retool,2023-03-30T23:22:46.000Z,Nisa Retool
104,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Neptunia 4 US,35307,0,157500,PREAPP CO LTD,2023-03-30T23:23:24.000Z,Nisa Retool,2023-03-30T23:23:24.000Z,Nisa Retool
105,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,2,GOC 3,40900.75,0,70000,PREAPP CO LTD,2023-03-30T23:24:11.000Z,Nisa Retool,2023-06-05T18:08:31.000Z,Nisa Retool
113,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Mugen Souls Z EU,0,0,0,PREAPP CO LTD,2023-04-01T00:22:46.000Z,Yuta Okazaki,2023-04-01T00:22:46.000Z,Yuta Okazaki
135,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Black Rock Shooter-US,0,0,0,PREAPP CO LTD,2023-06-03T04:09:22.000Z,Nisa Retool,2023-06-03T04:09:22.000Z,Nisa Retool
136,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Fairy Fencer F US,0,0,84000,PREAPP CO LTD,2023-06-03T04:12:57.000Z,Nisa Retool,2023-06-03T04:12:57.000Z,Nisa Retool
12,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Labyrinth Legend,25341.95,0,30000,"Regista Co.,Ltd",2023-03-17T18:27:44.000Z,Nisa Retool,2023-06-03T17:47:10.000Z,Nisa Retool
13,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Shadow Corridor,47715.63,0,50000,"Regista Co.,Ltd",2023-03-17T18:27:44.000Z,Nisa Retool,2023-06-03T17:47:15.000Z,Nisa Retool
75,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,2,My Lord 2 EU,37323.1,0,70000,SCEI-EU,2023-03-17T18:27:44.000Z,Nisa Retool,2023-06-03T17:58:41.000Z,Nisa Retool
109,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,My Lord 1 EU,36571.55,0,70000,SCEI-EU,2023-03-30T23:33:20.000Z,Nisa Retool,2023-03-30T23:33:20.000Z,Nisa Retool
